sequential_site	protein	protein_site	Wolf_epitope	Koel_epitope
1	HA1	1	0	0
2	HA1	2	0	0
3	HA1	3	0	0
4	HA1	4	0	0
5	HA1	5	0	0
6	HA1	6	0	0
7	HA1	7	0	0
8	HA1	8	0	0
9	HA1	9	0	0
10	HA1	10	0	0
11	HA1	11	0	0
12	HA1	12	0	0
13	HA1	13	0	0
14	HA1	14	0	0
15	HA1	15	0	0
16	HA1	16	0	0
17	HA1	17	0	0
18	HA1	18	0	0
19	HA1	19	0	0
20	HA1	20	0	0
21	HA1	21	0	0
22	HA1	22	0	0
23	HA1	23	0	0
24	HA1	24	0	0
25	HA1	25	0	0
26	HA1	26	0	0
27	HA1	27	0	0
28	HA1	28	0	0
29	HA1	29	0	0
30	HA1	30	0	0
31	HA1	31	0	0
32	HA1	32	0	0
33	HA1	33	0	0
34	HA1	34	0	0
35	HA1	35	0	0
36	HA1	36	0	0
37	HA1	37	0	0
38	HA1	38	0	0
39	HA1	39	0	0
40	HA1	40	0	0
41	HA1	41	0	0
42	HA1	42	0	0
43	HA1	43	0	0
44	HA1	44	1	0
45	HA1	45	1	0
46	HA1	46	1	0
47	HA1	47	1	0
48	HA1	48	1	0
49	HA1	49	0	0
50	HA1	50	1	0
51	HA1	51	1	0
52	HA1	52	0	0
53	HA1	53	1	0
54	HA1	54	1	0
55	HA1	55	0	0
56	HA1	56	0	0
57	HA1	57	1	0
58	HA1	58	0	0
59	HA1	59	1	0
60	HA1	60	0	0
61	HA1	61	0	0
62	HA1	62	1	0
63	HA1	63	1	0
64	HA1	64	0	0
65	HA1	65	0	0
66	HA1	66	0	0
67	HA1	67	1	0
68	HA1	68	0	0
69	HA1	69	0	0
70	HA1	70	0	0
71	HA1	71	0	0
72	HA1	72	0	0
73	HA1	73	0	0
74	HA1	74	0	0
75	HA1	75	1	0
76	HA1	76	0	0
77	HA1	77	0	0
78	HA1	78	1	0
79	HA1	79	0	0
80	HA1	80	1	0
81	HA1	81	1	0
82	HA1	82	1	0
83	HA1	83	1	0
84	HA1	84	0	0
85	HA1	85	0	0
86	HA1	86	1	0
87	HA1	87	1	0
88	HA1	88	1	0
89	HA1	89	0	0
90	HA1	90	0	0
91	HA1	91	1	0
92	HA1	92	1	0
93	HA1	93	0	0
94	HA1	94	1	0
95	HA1	95	0	0
96	HA1	96	1	0
97	HA1	97	0	0
98	HA1	98	0	0
99	HA1	99	0	0
100	HA1	100	0	0
101	HA1	101	0	0
102	HA1	102	1	0
103	HA1	103	1	0
104	HA1	104	0	0
105	HA1	105	0	0
106	HA1	106	0	0
107	HA1	107	0	0
108	HA1	108	0	0
109	HA1	109	1	0
110	HA1	110	0	0
111	HA1	111	0	0
112	HA1	112	0	0
113	HA1	113	0	0
114	HA1	114	0	0
115	HA1	115	0	0
116	HA1	116	0	0
117	HA1	117	1	0
118	HA1	118	0	0
119	HA1	119	0	0
120	HA1	120	0	0
121	HA1	121	1	0
122	HA1	122	1	0
123	HA1	123	0	0
124	HA1	124	1	0
125	HA1	125	0	0
126	HA1	126	1	0
127	HA1	127	0	0
128	HA1	128	1	0
129	HA1	129	1	0
130	HA1	130	1	0
131	HA1	131	1	0
132	HA1	132	1	0
133	HA1	133	1	0
134	HA1	134	0	0
135	HA1	135	1	0
136	HA1	136	0	0
137	HA1	137	1	0
138	HA1	138	1	0
139	HA1	139	0	0
140	HA1	140	1	0
141	HA1	141	0	0
142	HA1	142	1	0
143	HA1	143	1	0
144	HA1	144	1	0
145	HA1	145	1	1
146	HA1	146	1	0
147	HA1	147	0	0
148	HA1	148	0	0
149	HA1	149	0	0
150	HA1	150	1	0
151	HA1	151	0	0
152	HA1	152	1	0
153	HA1	153	0	0
154	HA1	154	0	0
155	HA1	155	1	1
156	HA1	156	1	1
157	HA1	157	1	0
158	HA1	158	1	1
159	HA1	159	1	1
160	HA1	160	0	0
161	HA1	161	0	0
162	HA1	162	0	0
163	HA1	163	1	0
164	HA1	164	0	0
165	HA1	165	1	0
166	HA1	166	0	0
167	HA1	167	1	0
168	HA1	168	1	0
169	HA1	169	0	0
170	HA1	170	1	0
171	HA1	171	1	0
172	HA1	172	1	0
173	HA1	173	1	0
174	HA1	174	1	0
175	HA1	175	1	0
176	HA1	176	1	0
177	HA1	177	1	0
178	HA1	178	0	0
