well,strain,serum,dilution_factor,replicate,fastq
A1,A/Darwin/1454/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_1_S1_R1_001.fastq.gz
B1,A/Singapore/GP20238/2024_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_2_S2_R1_001.fastq.gz
C1,A/Badajoz/18811358/2026_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_3_S3_R1_001.fastq.gz
D1,A/StPetersburg/RII-25-2042S/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_4_S4_R1_001.fastq.gz
E1,A/Ireland/91576/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_5_S5_R1_001.fastq.gz
F1,A/Thuringen/16/2026_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_6_S6_R1_001.fastq.gz
G1,A/StPetersburg/RII-25-2600S/2026_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_7_S7_R1_001.fastq.gz
H1,A/Astrakhan/RII-MH273373S/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_8_S8_R1_001.fastq.gz
A2,A/Massachusetts/ISC-1856/2025_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_9_S9_R1_001.fastq.gz
B2,A/Florida/ISC-1069/2026_H3N2,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_10_S10_R1_001.fastq.gz
