well,serum,dilution_factor,replicate,fastq
A1,none,4,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_3_S3_L001_R1_001.fastq.gz
A2,none,8,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_11_S9_L001_R1_001.fastq.gz
A3,none,16,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_19_S15_L001_R1_001.fastq.gz
A4,none,32,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_27_S21_L001_R1_001.fastq.gz
A5,none,64,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_35_S27_L001_R1_001.fastq.gz
A6,none,128,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_43_S33_L001_R1_001.fastq.gz
A7,none,256,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_51_S39_L001_R1_001.fastq.gz
A8,none,512,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_59_S45_L001_R1_001.fastq.gz
A9,none,1024,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_67_S51_L001_R1_001.fastq.gz
A10,none,2048,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_75_S57_L001_R1_001.fastq.gz
A11,none,4096,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_83_S63_L001_R1_001.fastq.gz
A12,none,8192,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_91_S69_L001_R1_001.fastq.gz
B1,none,4,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_4_S4_L001_R1_001.fastq.gz
B2,none,8,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_12_S10_L001_R1_001.fastq.gz
B3,none,16,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_20_S16_L001_R1_001.fastq.gz
B4,none,32,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_28_S22_L001_R1_001.fastq.gz
B5,none,64,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_36_S28_L001_R1_001.fastq.gz
B6,none,128,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_44_S34_L001_R1_001.fastq.gz
B7,none,256,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_52_S40_L001_R1_001.fastq.gz
B8,none,512,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_60_S46_L001_R1_001.fastq.gz
B9,none,1024,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_68_S52_L001_R1_001.fastq.gz
B10,none,2048,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_76_S58_L001_R1_001.fastq.gz
B11,none,4096,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_84_S64_L001_R1_001.fastq.gz
B12,none,8192,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/20260810_SH00878_0125_ASC2271530-SC3/Unaligned/CKAB_20260810/PlateB_92_S70_L001_R1_001.fastq.gz
