well,serum,dilution_factor,replicate,fastq
A1,none,4,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_1_S1_R1_001.fastq.gz
A2,none,8,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_9_S9_R1_001.fastq.gz
A3,none,16,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_17_S17_R1_001.fastq.gz
A4,none,32,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_25_S25_R1_001.fastq.gz
A5,none,64,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_33_S33_R1_001.fastq.gz
A6,none,128,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_41_S41_R1_001.fastq.gz
A7,none,256,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_49_S49_R1_001.fastq.gz
A8,none,512,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_57_S57_R1_001.fastq.gz
A9,none,1024,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_65_S65_R1_001.fastq.gz
A10,none,2048,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_73_S73_R1_001.fastq.gz
A11,none,4096,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_81_S81_R1_001.fastq.gz
A12,none,8192,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_89_S89_R1_001.fastq.gz
B1,none,4,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_2_S2_R1_001.fastq.gz
B2,none,8,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_10_S10_R1_001.fastq.gz
B3,none,16,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_18_S18_R1_001.fastq.gz
B4,none,32,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_26_S26_R1_001.fastq.gz
B5,none,64,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_34_S34_R1_001.fastq.gz
B6,none,128,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_42_S42_R1_001.fastq.gz
B7,none,256,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_50_S50_R1_001.fastq.gz
B8,none,512,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_58_S58_R1_001.fastq.gz
B9,none,1024,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_66_S66_R1_001.fastq.gz
B10,none,2048,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_74_S74_R1_001.fastq.gz
B11,none,4096,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_82_S82_R1_001.fastq.gz
B12,none,8192,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_90_S90_R1_001.fastq.gz
