well,strain,serum,dilution_factor,replicate,fastq
A1,A/Missouri/11/2025_egg_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_1_S1_R1_001.fastq.gz
B1,A/Nebraska/34/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_2_S2_R1_001.fastq.gz
C1,A/Rhode_Island/11/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_3_S3_R1_001.fastq.gz
D1,A/Denmark/4547/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_4_S4_R1_001.fastq.gz
E1,A/BritishColumbia/RV00022-26/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_5_S5_R1_001.fastq.gz
F1,A/France/NAQ-HCL026046169102/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_6_S6_R1_001.fastq.gz
G1,A/England/1893256/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_7_S7_R1_001.fastq.gz
H1,A/Uppsala/SE26-01293/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_8_S8_R1_001.fastq.gz
A2,A/Sydney/50/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_9_S9_R1_001.fastq.gz
B2,A/Maine/25/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_10_S10_R1_001.fastq.gz
C2,A/Netherlands/864/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_11_S11_R1_001.fastq.gz
D2,A/France/HDF-RELAB-IPP07969/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_12_S12_R1_001.fastq.gz
E2,A/Virginia/82/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_13_S13_R1_001.fastq.gz
F2,A/Valencia/VAHNSI_09_02564/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_14_S14_R1_001.fastq.gz
G2,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_15_S15_R1_001.fastq.gz
H2,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_16_S16_R1_001.fastq.gz
A3,A/Kentucky/80/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_17_S17_R1_001.fastq.gz
B3,A/Singapore/KK2768/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_18_S18_R1_001.fastq.gz
C3,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_19_S19_R1_001.fastq.gz
D3,A/California/NIRC-IS-1019/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_20_S20_R1_001.fastq.gz
E3,A/Zambia/6-NIC-014/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_21_S21_R1_001.fastq.gz
F3,A/Mississippi/20/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_22_S22_R1_001.fastq.gz
G3,A/BritishColumbia/RV05508-25/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_23_S23_R1_001.fastq.gz
H3,A/Zambia/7-NIC-313/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_24_S24_R1_001.fastq.gz
A4,A/Andalucia/PMC-01495/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_25_S25_R1_001.fastq.gz
B4,A/Netherlands/2398/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_26_S26_R1_001.fastq.gz
C4,A/Netherlands/10008/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_27_S27_R1_001.fastq.gz
D4,A/BritishColumbia/RV01350-26/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_28_S28_R1_001.fastq.gz
E4,A/Vietnam/PF125413/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_29_S29_R1_001.fastq.gz
F4,A/Saskatchewan/SKFLU490586/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_30_S30_R1_001.fastq.gz
G4,A/Asturias/232590913/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_31_S31_R1_001.fastq.gz
H4,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_32_S32_R1_001.fastq.gz
A5,A/Texas/29/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_33_S33_R1_001.fastq.gz
B5,A/Andalucia/PMC-01217/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_34_S34_R1_001.fastq.gz
C5,A/California/NIRC-IS-1356/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_35_S35_R1_001.fastq.gz
D5,A/Netherlands/543/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_36_S36_R1_001.fastq.gz
E5,A/Galicia/GA-CHUAC-612/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_37_S37_R1_001.fastq.gz
F5,A/Denmark/4774/2025_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_38_S38_R1_001.fastq.gz
G5,A/PaisVasco/70369726/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_39_S39_R1_001.fastq.gz
H5,A/MinasGerais/410/2026_H1N1,none,1,1,/shared/ngs/illumina/bloom_lab/260731_VH00699_635_AAJHGFVM5/Unaligned/Project_bloom_lab/PlateB_40_S40_R1_001.fastq.gz
