plate,well,strain,dilution_factor,n_barcodes,n_barcodes_final,final_library,parsed_reads,neut_standard_reads,non-neut-standard_parsed_reads,own_strain_reads,other_strain_reads,unmatched_near_expected_reads,unmatched_far_expected_reads,frac_own_strain_reads,frac_other_strain_reads,frac_unmatched_near_expected_reads,frac_unmatched_far_expected_reads,frac_foreign,frac_unmatched,titer,too_shallow,titer_imprecise,flagged_other_strain,flagged_unmatched,top_other_strain,top_other_strain_reads,top_other_strain_well,top_other_strain_wells_away
20260730_single_well_H1_vax_old_strains,A1,A/Missouri/11/2025_egg_H1N1,1,2,2,kept,795637,24848,770789,761806,33,5398,3552,0.9883,4.281e-05,0.007003,0.004608,0.004651,0.01161,30.66,False,False,False,False,A/Hawaii/70/2019_H1N1,7,D8,7
20260730_single_well_H1_vax_old_strains,B1,A/Nebraska/34/2026_H1N1,1,2,2,kept,528280,8189,520091,515914,22,2790,1365,0.992,4.23e-05,0.005364,0.002625,0.002667,0.007989,63,False,False,False,False,A/Singapore/GP20238/2024_H3N2,3,B1,
20260730_single_well_H1_vax_old_strains,C1,A/Rhode_Island/11/2026_H1N1,1,2,2,kept,1391014,33649,1357365,1344111,28,7677,5549,0.9902,2.063e-05,0.005656,0.004088,0.004109,0.009744,39.95,False,False,False,False,A/Badajoz/18811358/2026_H3N2,9,C1,
20260730_single_well_H1_vax_old_strains,D1,A/Denmark/4547/2025_H1N1,1,2,2,kept,982388,845299,137089,7187,81,7158,122663,0.05243,0.0005909,0.05221,0.8948,0.8954,0.947,0.008502,False,False,False,True,A/Thailand/8/2022_H3N2,38,B8,7
20260730_single_well_H1_vax_old_strains,E1,A/BritishColumbia/RV00022-26/2025_H1N1,1,2,2,kept,425208,318710,106498,54778,4,2763,48953,0.5144,3.756e-05,0.02594,0.4597,0.4597,0.4856,0.1719,False,False,False,True,A/Andalucia/PMC-01495/2025_H1N1,1,A4,4
20260730_single_well_H1_vax_old_strains,F1,A/France/NAQ-HCL026046169102/2025_H1N1,1,2,2,kept,1639049,1382238,256811,36299,124,11904,208484,0.1413,0.0004828,0.04635,0.8118,0.8123,0.8582,0.02626,False,False,False,True,A/Thailand/8/2022_H3N2,33,B8,7
20260730_single_well_H1_vax_old_strains,G1,A/England/1893256/2026_H1N1,1,2,2,kept,2058032,1700059,357973,84799,132,14876,258166,0.2369,0.0003687,0.04156,0.7212,0.7216,0.7627,0.04988,False,False,False,True,A/Hawaii/70/2019_H1N1,56,D8,7
20260730_single_well_H1_vax_old_strains,H1,A/Uppsala/SE26-01293/2026_H1N1,1,2,2,kept,1717249,1449818,267431,34764,177,16323,216167,0.13,0.0006619,0.06104,0.8083,0.809,0.8693,0.02398,False,False,False,True,A/Hawaii/70/2019_H1N1,68,D8,7
20260730_single_well_H1_vax_old_strains,A2,A/Sydney/50/2026_H1N1,1,2,2,kept,792867,11383,781484,776230,16,3298,1940,0.9933,2.047e-05,0.00422,0.002482,0.002503,0.006703,68.19,False,False,False,False,A/Massachusetts/ISC-1856/2025_H3N2,2,A2,
20260730_single_well_H1_vax_old_strains,B2,A/Maine/25/2026_H1N1,1,2,2,kept,1605121,34449,1570672,1556032,713,8336,5591,0.9907,0.0004539,0.005307,0.00356,0.004014,0.008867,45.17,False,False,False,False,A/Netherlands/864/2026_H1N1,677,C2,1
