shortname,strain,subpool,remake_subpool,mean_fraction_strain,representation,previous_volume_uL,subpool_composition,predicted_fraction_strain,ratio_to_add,neat_volume_uL,dilution_factor,volume_to_add_uL
flu-seqneut-2026_H1N1_1,A/Missouri/11/2025_egg_H1N1,flu-seqneut-2026_h1,False,0.004163,under,982.4,0.01375,0.004923,,,,
flu-seqneut-2026_H1N1_2,A/Nebraska/34/2026_H1N1,flu-seqneut-2026_h1,False,0.003522,under,42.87,0.01163,0.004166,,,,
flu-seqneut-2026_H1N1_3,A/Rhode_Island/11/2026_H1N1,flu-seqneut-2026_h1,False,0.007134,ok,71.71,0.02356,0.008437,,,,
flu-seqneut-2026_H1N1_4,A/Denmark/4547/2025_H1N1,flu-seqneut-2026_h1,False,0.005882,ok,59.4,0.01942,0.006955,,,,
flu-seqneut-2026_H1N1_5,A/BritishColumbia/RV00022-26/2025_H1N1,flu-seqneut-2026_h1,False,0.005705,ok,64.49,0.01884,0.006747,,,,
flu-seqneut-2026_H1N1_6,A/France/NAQ-HCL026046169102/2025_H1N1,flu-seqneut-2026_h1,False,0.002561,under,58.32,0.008456,0.003028,,,,
flu-seqneut-2026_H1N1_7,A/England/1893256/2026_H1N1,flu-seqneut-2026_h1,False,0.005042,ok,75.21,0.01665,0.005962,,,,
flu-seqneut-2026_H1N1_8,A/Uppsala/SE26-01293/2026_H1N1,flu-seqneut-2026_h1,False,0.004035,under,63.55,0.01332,0.004772,,,,
flu-seqneut-2026_H1N1_9,A/Sydney/50/2026_H1N1,flu-seqneut-2026_h1,False,0.004897,ok,258.3,0.01617,0.005791,,,,
flu-seqneut-2026_H1N1_10,A/Maine/25/2026_H1N1,flu-seqneut-2026_h1,False,0.004269,under,68.32,0.0141,0.005049,,,,
flu-seqneut-2026_H1N1_11,A/Netherlands/864/2026_H1N1,flu-seqneut-2026_h1,False,0.007007,ok,56.34,0.02314,0.008286,,,,
flu-seqneut-2026_H1N1_12,A/France/HDF-RELAB-IPP07969/2025_H1N1,flu-seqneut-2026_h1,False,0.004626,ok,57.77,0.01528,0.005471,,,,
flu-seqneut-2026_H1N1_13,A/Virginia/82/2025_H1N1,flu-seqneut-2026_h1,False,0.005628,ok,98.71,0.01858,0.006655,,,,
flu-seqneut-2026_H1N1_14,A/Valencia/VAHNSI_09_02564/2025_H1N1,flu-seqneut-2026_h1,False,0.007968,ok,44.69,0.02631,0.009423,,,,
flu-seqneut-2026_H1N1_15,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,flu-seqneut-2026_h1,False,0.006766,ok,284.6,0.02234,0.008001,,,,
flu-seqneut-2026_H1N1_16,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,flu-seqneut-2026_h1,False,0.003389,under,269.2,0.01119,0.004008,,,,
flu-seqneut-2026_H1N1_17,A/Kentucky/80/2025_H1N1,flu-seqneut-2026_h1,False,0.004124,under,124.6,0.01362,0.004877,,,,
flu-seqneut-2026_H1N1_18,A/Singapore/KK2768/2025_H1N1,flu-seqneut-2026_h1,False,0.004771,ok,92.04,0.01575,0.005642,,,,
flu-seqneut-2026_H1N1_19,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,flu-seqneut-2026_h1,False,0.005643,ok,100.1,0.01864,0.006674,,,,
flu-seqneut-2026_H1N1_20,A/California/NIRC-IS-1019/2026_H1N1,flu-seqneut-2026_h1,False,0.007198,ok,69.25,0.02377,0.008513,,,,
flu-seqneut-2026_H1N1_21,A/Zambia/6-NIC-014/2026_H1N1,flu-seqneut-2026_h1,False,0.006763,ok,70.74,0.02233,0.007997,,,,
flu-seqneut-2026_H1N1_22,A/Mississippi/20/2026_H1N1,flu-seqneut-2026_h1,False,0.007609,ok,43.49,0.02513,0.008998,,,,
flu-seqneut-2026_H1N1_23,A/BritishColumbia/RV05508-25/2025_H1N1,flu-seqneut-2026_h1,False,0.007409,ok,91.11,0.02447,0.008762,,,,
flu-seqneut-2026_H1N1_24,A/Zambia/7-NIC-313/2026_H1N1,flu-seqneut-2026_h1,False,0.008169,ok,45.17,0.02698,0.00966,,,,
flu-seqneut-2026_H1N1_25,A/Andalucia/PMC-01495/2025_H1N1,flu-seqneut-2026_h1,False,0.006346,ok,43.39,0.02096,0.007504,,,,
flu-seqneut-2026_H1N1_26,A/Netherlands/2398/2025_H1N1,flu-seqneut-2026_h1,False,0.004111,under,95.24,0.01357,0.004861,,,,
flu-seqneut-2026_H1N1_27,A/Netherlands/10008/2026_H1N1,flu-seqneut-2026_h1,False,0.003622,under,114.4,0.01196,0.004283,,,,
flu-seqneut-2026_H1N1_28,A/BritishColumbia/RV01350-26/2026_H1N1,flu-seqneut-2026_h1,False,0.004458,under,124.7,0.01472,0.005272,,,,
