shortname,strain,subpool,mean_fraction_strain,ratio_to_add,volume_to_add_uL
flu-seqneut-2026_H1N1_1,A/Missouri/11/2025_egg_H1N1,flu-seqneut-2026_h1,9.915e-05,22.71,982.4
flu-seqneut-2026_H1N1_2,A/Nebraska/34/2026_H1N1,flu-seqneut-2026_h1,0.002272,0.9908,42.87
flu-seqneut-2026_H1N1_3,A/Rhode_Island/11/2026_H1N1,flu-seqneut-2026_h1,0.001358,1.658,71.71
flu-seqneut-2026_H1N1_4,A/Denmark/4547/2025_H1N1,flu-seqneut-2026_h1,0.00164,1.373,59.4
flu-seqneut-2026_H1N1_5,A/BritishColumbia/RV00022-26/2025_H1N1,flu-seqneut-2026_h1,0.00151,1.491,64.49
flu-seqneut-2026_H1N1_6,A/France/NAQ-HCL026046169102/2025_H1N1,flu-seqneut-2026_h1,0.00167,1.348,58.32
flu-seqneut-2026_H1N1_7,A/England/1893256/2026_H1N1,flu-seqneut-2026_h1,0.001295,1.738,75.21
flu-seqneut-2026_H1N1_8,A/Uppsala/SE26-01293/2026_H1N1,flu-seqneut-2026_h1,0.001533,1.469,63.55
flu-seqneut-2026_H1N1_9,A/Sydney/50/2026_H1N1,flu-seqneut-2026_h1,0.0003771,5.97,258.3
flu-seqneut-2026_H1N1_10,A/Maine/25/2026_H1N1,flu-seqneut-2026_h1,0.001426,1.579,68.32
flu-seqneut-2026_H1N1_11,A/Netherlands/864/2026_H1N1,flu-seqneut-2026_h1,0.001729,1.302,56.34
flu-seqneut-2026_H1N1_12,A/France/HDF-RELAB-IPP07969/2025_H1N1,flu-seqneut-2026_h1,0.001686,1.335,57.77
flu-seqneut-2026_H1N1_13,A/Virginia/82/2025_H1N1,flu-seqneut-2026_h1,0.0009868,2.281,98.71
flu-seqneut-2026_H1N1_14,A/Valencia/VAHNSI_09_02564/2025_H1N1,flu-seqneut-2026_h1,0.002179,1.033,44.69
flu-seqneut-2026_H1N1_15,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,flu-seqneut-2026_h1,0.0003423,6.577,284.6
flu-seqneut-2026_H1N1_16,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,flu-seqneut-2026_h1,0.0003618,6.223,269.2
flu-seqneut-2026_H1N1_17,A/Kentucky/80/2025_H1N1,flu-seqneut-2026_h1,0.0007819,2.879,124.6
flu-seqneut-2026_H1N1_18,A/Singapore/KK2768/2025_H1N1,flu-seqneut-2026_h1,0.001058,2.127,92.04
flu-seqneut-2026_H1N1_19,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,flu-seqneut-2026_h1,0.0009735,2.313,100.1
flu-seqneut-2026_H1N1_20,A/California/NIRC-IS-1019/2026_H1N1,flu-seqneut-2026_h1,0.001407,1.601,69.25
flu-seqneut-2026_H1N1_21,A/Zambia/6-NIC-014/2026_H1N1,flu-seqneut-2026_h1,0.001377,1.635,70.74
flu-seqneut-2026_H1N1_22,A/Mississippi/20/2026_H1N1,flu-seqneut-2026_h1,0.00224,1.005,43.49
flu-seqneut-2026_H1N1_23,A/BritishColumbia/RV05508-25/2025_H1N1,flu-seqneut-2026_h1,0.001069,2.106,91.11
flu-seqneut-2026_H1N1_24,A/Zambia/7-NIC-313/2026_H1N1,flu-seqneut-2026_h1,0.002156,1.044,45.17
flu-seqneut-2026_H1N1_25,A/Andalucia/PMC-01495/2025_H1N1,flu-seqneut-2026_h1,0.002245,1.003,43.39
flu-seqneut-2026_H1N1_26,A/Netherlands/2398/2025_H1N1,flu-seqneut-2026_h1,0.001023,2.201,95.24
flu-seqneut-2026_H1N1_27,A/Netherlands/10008/2026_H1N1,flu-seqneut-2026_h1,0.0008511,2.645,114.4
flu-seqneut-2026_H1N1_28,A/BritishColumbia/RV01350-26/2026_H1N1,flu-seqneut-2026_h1,0.0007811,2.882,124.7
flu-seqneut-2026_H1N1_29,A/Vietnam/PF125413/2025_H1N1,flu-seqneut-2026_h1,0.00109,2.066,89.38
flu-seqneut-2026_H1N1_30,A/Saskatchewan/SKFLU490586/2026_H1N1,flu-seqneut-2026_h1,0.0006432,3.5,151.4
flu-seqneut-2026_H1N1_31,A/Asturias/232590913/2025_H1N1,flu-seqneut-2026_h1,0.001032,2.181,94.38
flu-seqneut-2026_H1N1_32,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,flu-seqneut-2026_h1,0.00129,1.746,75.52
flu-seqneut-2026_H1N1_33,A/Texas/29/2026_H1N1,flu-seqneut-2026_h1,0.0006726,3.347,144.8
flu-seqneut-2026_H1N1_34,A/Andalucia/PMC-01217/2025_H1N1,flu-seqneut-2026_h1,0.001336,1.685,72.91
flu-seqneut-2026_H1N1_35,A/California/NIRC-IS-1356/2025_H1N1,flu-seqneut-2026_h1,0.0006656,3.383,146.3
flu-seqneut-2026_H1N1_36,A/Netherlands/543/2026_H1N1,flu-seqneut-2026_h1,0.00261,0.8627,37.33
flu-seqneut-2026_H1N1_37,A/Galicia/GA-CHUAC-612/2025_H1N1,flu-seqneut-2026_h1,0.001358,1.658,71.75
flu-seqneut-2026_H1N1_38,A/Denmark/4774/2025_H1N1,flu-seqneut-2026_h1,0.003225,0.698,30.2
flu-seqneut-2026_H1N1_39,A/PaisVasco/70369726/2026_H1N1,flu-seqneut-2026_h1,0.001162,1.937,83.8
