shortname,strain,subpool,mean_fraction_strain,representation,over_represented,under_represented,x_expected
flu-seqneut-2026_H1N1_1,A/Missouri/11/2025_egg_H1N1,flu-seqneut-2026_h1,0.01652,over,True,False,2.444
flu-seqneut-2026_H1N1_2,A/Nebraska/34/2026_H1N1,flu-seqneut-2026_h1,0.006009,ok,False,False,0.8893
flu-seqneut-2026_H1N1_3,A/Rhode_Island/11/2026_H1N1,flu-seqneut-2026_h1,0.01071,over,True,False,1.586
flu-seqneut-2026_H1N1_4,A/Denmark/4547/2025_H1N1,flu-seqneut-2026_h1,0.008911,ok,False,False,1.319
flu-seqneut-2026_H1N1_5,A/BritishColumbia/RV00022-26/2025_H1N1,flu-seqneut-2026_h1,0.008068,ok,False,False,1.194
flu-seqneut-2026_H1N1_6,A/France/NAQ-HCL026046169102/2025_H1N1,flu-seqneut-2026_h1,0.005816,ok,False,False,0.8608
flu-seqneut-2026_H1N1_7,A/England/1893256/2026_H1N1,flu-seqneut-2026_h1,0.007094,ok,False,False,1.05
flu-seqneut-2026_H1N1_8,A/Uppsala/SE26-01293/2026_H1N1,flu-seqneut-2026_h1,0.009457,ok,False,False,1.4
flu-seqneut-2026_H1N1_9,A/Sydney/50/2026_H1N1,flu-seqneut-2026_h1,0.008355,ok,False,False,1.236
flu-seqneut-2026_H1N1_10,A/Maine/25/2026_H1N1,flu-seqneut-2026_h1,0.006848,ok,False,False,1.013
flu-seqneut-2026_H1N1_11,A/Netherlands/864/2026_H1N1,flu-seqneut-2026_h1,0.007761,ok,False,False,1.149
flu-seqneut-2026_H1N1_12,A/France/HDF-RELAB-IPP07969/2025_H1N1,flu-seqneut-2026_h1,0.008433,ok,False,False,1.248
flu-seqneut-2026_H1N1_13,A/Virginia/82/2025_H1N1,flu-seqneut-2026_h1,0.008378,ok,False,False,1.24
flu-seqneut-2026_H1N1_14,A/Valencia/VAHNSI_09_02564/2025_H1N1,flu-seqneut-2026_h1,0.01073,over,True,False,1.588
flu-seqneut-2026_H1N1_15,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,flu-seqneut-2026_h1,0.008659,ok,False,False,1.281
flu-seqneut-2026_H1N1_16,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,flu-seqneut-2026_h1,0.006141,ok,False,False,0.9089
flu-seqneut-2026_H1N1_17,A/Kentucky/80/2025_H1N1,flu-seqneut-2026_h1,0.006957,ok,False,False,1.03
flu-seqneut-2026_H1N1_18,A/Singapore/KK2768/2025_H1N1,flu-seqneut-2026_h1,0.005894,ok,False,False,0.8723
flu-seqneut-2026_H1N1_19,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,flu-seqneut-2026_h1,0.01112,over,True,False,1.646
flu-seqneut-2026_H1N1_20,A/California/NIRC-IS-1019/2026_H1N1,flu-seqneut-2026_h1,0.007391,ok,False,False,1.094
flu-seqneut-2026_H1N1_21,A/Zambia/6-NIC-014/2026_H1N1,flu-seqneut-2026_h1,0.007689,ok,False,False,1.138
flu-seqneut-2026_H1N1_22,A/Mississippi/20/2026_H1N1,flu-seqneut-2026_h1,0.01012,ok,False,False,1.498
flu-seqneut-2026_H1N1_23,A/BritishColumbia/RV05508-25/2025_H1N1,flu-seqneut-2026_h1,0.01123,over,True,False,1.662
flu-seqneut-2026_H1N1_24,A/Zambia/7-NIC-313/2026_H1N1,flu-seqneut-2026_h1,0.009345,ok,False,False,1.383
flu-seqneut-2026_H1N1_25,A/Andalucia/PMC-01495/2025_H1N1,flu-seqneut-2026_h1,0.007359,ok,False,False,1.089
flu-seqneut-2026_H1N1_26,A/Netherlands/2398/2025_H1N1,flu-seqneut-2026_h1,0.006304,ok,False,False,0.933
flu-seqneut-2026_H1N1_27,A/Netherlands/10008/2026_H1N1,flu-seqneut-2026_h1,0.007867,ok,False,False,1.164
flu-seqneut-2026_H1N1_28,A/BritishColumbia/RV01350-26/2026_H1N1,flu-seqneut-2026_h1,0.00588,ok,False,False,0.8702
flu-seqneut-2026_H1N1_29,A/Vietnam/PF125413/2025_H1N1,flu-seqneut-2026_h1,0.007955,ok,False,False,1.177
flu-seqneut-2026_H1N1_30,A/Saskatchewan/SKFLU490586/2026_H1N1,flu-seqneut-2026_h1,0.01014,over,True,False,1.5
flu-seqneut-2026_H1N1_31,A/Asturias/232590913/2025_H1N1,flu-seqneut-2026_h1,0.00818,ok,False,False,1.211
flu-seqneut-2026_H1N1_32,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,flu-seqneut-2026_h1,0.01035,over,True,False,1.532
flu-seqneut-2026_H1N1_33,A/Texas/29/2026_H1N1,flu-seqneut-2026_h1,0.01055,over,True,False,1.562
flu-seqneut-2026_H1N1_34,A/Andalucia/PMC-01217/2025_H1N1,flu-seqneut-2026_h1,0.003442,under,False,True,0.5094
flu-seqneut-2026_H1N1_35,A/California/NIRC-IS-1356/2025_H1N1,flu-seqneut-2026_h1,0.006727,ok,False,False,0.9957
flu-seqneut-2026_H1N1_36,A/Netherlands/543/2026_H1N1,flu-seqneut-2026_h1,0.006939,ok,False,False,1.027
flu-seqneut-2026_H1N1_37,A/Galicia/GA-CHUAC-612/2025_H1N1,flu-seqneut-2026_h1,0.004316,under,False,True,0.6387
flu-seqneut-2026_H1N1_38,A/Denmark/4774/2025_H1N1,flu-seqneut-2026_h1,0.005102,ok,False,False,0.7551
flu-seqneut-2026_H1N1_39,A/PaisVasco/70369726/2026_H1N1,flu-seqneut-2026_h1,0.01195,over,True,False,1.769
flu-seqneut-2026_H1N1_40,A/MinasGerais/410/2026_H1N1,flu-seqneut-2026_h1,0.007188,ok,False,False,1.064
flu-seqneut-2026_H1N1_41,A/Hessen/18/2026_H1N1,flu-seqneut-2026_h1,0.008108,ok,False,False,1.2
flu-seqneut-2026_H1N1_42,A/France/GES-IPP00659/2026_H1N1,flu-seqneut-2026_h1,0.008588,ok,False,False,1.271
flu-seqneut-2026_H1N1_44,A/Ukraine/5214/2026_H1N1,flu-seqneut-2026_h1,0.005781,ok,False,False,0.8556
flu-seqneut-2026_H1N1_45,A/Vietnam/PF126009/2026_H1N1,flu-seqneut-2026_h1,0.006152,ok,False,False,0.9105
flu-seqneut-2026_H1N1_46,A/France/ARA-HCL025195259501/2025_H1N1,flu-seqneut-2026_h1,0.008534,ok,False,False,1.263
flu-seqneut-2026_H1N1_47,A/NordrheinWestfalen/96/2026_H1N1,flu-seqneut-2026_h1,0.007392,ok,False,False,1.094
flu-seqneut-2026_H1N1_48,A/Arizona/40/2026_H1N1,flu-seqneut-2026_h1,0.005459,ok,False,False,0.808
flu-seqneut-2026_H1N1_49,A/MinasGerais/671/2026_H1N1,flu-seqneut-2026_h1,0.008177,ok,False,False,1.21
flu-seqneut-2026_H1N1_50,A/SouthAfrica/NICD-R01647/2026_H1N1,flu-seqneut-2026_h1,0.007279,ok,False,False,1.077
flu-seqneut-2026_H1N1_51,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,flu-seqneut-2026_h1,0.005711,ok,False,False,0.8453
flu-seqneut-2026_H1N1_52,A/Mauritius/26000203/2026_H1N1,flu-seqneut-2026_h1,0.006479,ok,False,False,0.9588
flu-seqneut-2026_H1N1_53,A/SouthAfrica/NICD-R01668/2026_H1N1,flu-seqneut-2026_h1,0.007637,ok,False,False,1.13
flu-seqneut-2026_H1N1_54,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1,flu-seqneut-2026_h1,0.00956,ok,False,False,1.415
flu-seqneut-2026_H3N2_1,A/Darwin/1454/2025_H3N2,flu-seqneut-2026_h3,0.003908,under,False,True,0.5783
flu-seqneut-2026_H3N2_2,A/Singapore/GP20238/2024_H3N2,flu-seqneut-2026_h3,0.004171,under,False,True,0.6174
flu-seqneut-2026_H3N2_3,A/Badajoz/18811358/2026_H3N2,flu-seqneut-2026_h3,0.004509,ok,False,False,0.6674
flu-seqneut-2026_H3N2_4,A/StPetersburg/RII-25-2042S/2025_H3N2,flu-seqneut-2026_h3,0.007599,ok,False,False,1.125
flu-seqneut-2026_H3N2_5,A/Ireland/91576/2025_H3N2,flu-seqneut-2026_h3,0.006143,ok,False,False,0.9091
flu-seqneut-2026_H3N2_6,A/Thuringen/16/2026_H3N2,flu-seqneut-2026_h3,0.005933,ok,False,False,0.8781
flu-seqneut-2026_H3N2_7,A/StPetersburg/RII-25-2600S/2026_H3N2,flu-seqneut-2026_h3,0.005682,ok,False,False,0.8409
flu-seqneut-2026_H3N2_8,A/Astrakhan/RII-MH273373S/2025_H3N2,flu-seqneut-2026_h3,0.005274,ok,False,False,0.7806
flu-seqneut-2026_H3N2_9,A/Massachusetts/ISC-1856/2025_H3N2,flu-seqneut-2026_h3,0.006651,ok,False,False,0.9844
