shortname,strain,subpool,mean_fraction_strain,representation,over_represented,under_represented,x_expected
flu-seqneut-2026_H1N1_1,A/Missouri/11/2025_egg_H1N1,flu-seqneut-2026_h1,0.01512,over,True,False,2.238
flu-seqneut-2026_H1N1_2,A/Nebraska/34/2026_H1N1,flu-seqneut-2026_h1,0.005891,ok,False,False,0.8718
flu-seqneut-2026_H1N1_3,A/Rhode_Island/11/2026_H1N1,flu-seqneut-2026_h1,0.01233,over,True,False,1.825
flu-seqneut-2026_H1N1_4,A/Denmark/4547/2025_H1N1,flu-seqneut-2026_h1,0.009714,ok,False,False,1.438
flu-seqneut-2026_H1N1_5,A/BritishColumbia/RV00022-26/2025_H1N1,flu-seqneut-2026_h1,0.009096,ok,False,False,1.346
flu-seqneut-2026_H1N1_6,A/France/NAQ-HCL026046169102/2025_H1N1,flu-seqneut-2026_h1,0.00473,ok,False,False,0.7
flu-seqneut-2026_H1N1_7,A/England/1893256/2026_H1N1,flu-seqneut-2026_h1,0.007699,ok,False,False,1.139
flu-seqneut-2026_H1N1_8,A/Uppsala/SE26-01293/2026_H1N1,flu-seqneut-2026_h1,0.009097,ok,False,False,1.346
flu-seqneut-2026_H1N1_9,A/Sydney/50/2026_H1N1,flu-seqneut-2026_h1,0.008746,ok,False,False,1.294
flu-seqneut-2026_H1N1_10,A/Maine/25/2026_H1N1,flu-seqneut-2026_h1,0.00705,ok,False,False,1.043
flu-seqneut-2026_H1N1_11,A/Netherlands/864/2026_H1N1,flu-seqneut-2026_h1,0.007391,ok,False,False,1.094
flu-seqneut-2026_H1N1_12,A/France/HDF-RELAB-IPP07969/2025_H1N1,flu-seqneut-2026_h1,0.009503,ok,False,False,1.406
flu-seqneut-2026_H1N1_13,A/Virginia/82/2025_H1N1,flu-seqneut-2026_h1,0.01014,over,True,False,1.501
flu-seqneut-2026_H1N1_14,A/Valencia/VAHNSI_09_02564/2025_H1N1,flu-seqneut-2026_h1,0.01198,over,True,False,1.774
flu-seqneut-2026_H1N1_15,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,flu-seqneut-2026_h1,0.008957,ok,False,False,1.326
flu-seqneut-2026_H1N1_16,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,flu-seqneut-2026_h1,0.006126,ok,False,False,0.9067
flu-seqneut-2026_H1N1_17,A/Kentucky/80/2025_H1N1,flu-seqneut-2026_h1,0.007569,ok,False,False,1.12
flu-seqneut-2026_H1N1_18,A/Singapore/KK2768/2025_H1N1,flu-seqneut-2026_h1,0.006763,ok,False,False,1.001
flu-seqneut-2026_H1N1_19,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,flu-seqneut-2026_h1,0.01222,over,True,False,1.809
flu-seqneut-2026_H1N1_20,A/California/NIRC-IS-1019/2026_H1N1,flu-seqneut-2026_h1,0.008162,ok,False,False,1.208
flu-seqneut-2026_H1N1_21,A/Zambia/6-NIC-014/2026_H1N1,flu-seqneut-2026_h1,0.008618,ok,False,False,1.275
flu-seqneut-2026_H1N1_22,A/Mississippi/20/2026_H1N1,flu-seqneut-2026_h1,0.01198,over,True,False,1.773
flu-seqneut-2026_H1N1_23,A/BritishColumbia/RV05508-25/2025_H1N1,flu-seqneut-2026_h1,0.01038,over,True,False,1.536
flu-seqneut-2026_H1N1_24,A/Zambia/7-NIC-313/2026_H1N1,flu-seqneut-2026_h1,0.01039,over,True,False,1.538
flu-seqneut-2026_H1N1_25,A/Andalucia/PMC-01495/2025_H1N1,flu-seqneut-2026_h1,0.007315,ok,False,False,1.083
flu-seqneut-2026_H1N1_26,A/Netherlands/2398/2025_H1N1,flu-seqneut-2026_h1,0.006495,ok,False,False,0.9612
flu-seqneut-2026_H1N1_27,A/Netherlands/10008/2026_H1N1,flu-seqneut-2026_h1,0.008009,ok,False,False,1.185
flu-seqneut-2026_H1N1_28,A/BritishColumbia/RV01350-26/2026_H1N1,flu-seqneut-2026_h1,0.00637,ok,False,False,0.9427
flu-seqneut-2026_H1N1_29,A/Vietnam/PF125413/2025_H1N1,flu-seqneut-2026_h1,0.007258,ok,False,False,1.074
flu-seqneut-2026_H1N1_30,A/Saskatchewan/SKFLU490586/2026_H1N1,flu-seqneut-2026_h1,0.01037,over,True,False,1.535
flu-seqneut-2026_H1N1_31,A/Asturias/232590913/2025_H1N1,flu-seqneut-2026_h1,0.007608,ok,False,False,1.126
flu-seqneut-2026_H1N1_32,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,flu-seqneut-2026_h1,0.01091,over,True,False,1.615
flu-seqneut-2026_H1N1_33,A/Texas/29/2026_H1N1,flu-seqneut-2026_h1,0.01113,over,True,False,1.647
flu-seqneut-2026_H1N1_34,A/Andalucia/PMC-01217/2025_H1N1,flu-seqneut-2026_h1,0.004248,under,False,True,0.6286
flu-seqneut-2026_H1N1_35,A/California/NIRC-IS-1356/2025_H1N1,flu-seqneut-2026_h1,0.008387,ok,False,False,1.241
flu-seqneut-2026_H1N1_36,A/Netherlands/543/2026_H1N1,flu-seqneut-2026_h1,0.007174,ok,False,False,1.062
flu-seqneut-2026_H1N1_37,A/Galicia/GA-CHUAC-612/2025_H1N1,flu-seqneut-2026_h1,0.004427,under,False,True,0.6552
flu-seqneut-2026_H1N1_38,A/Denmark/4774/2025_H1N1,flu-seqneut-2026_h1,0.004617,ok,False,False,0.6833
flu-seqneut-2026_H1N1_39,A/PaisVasco/70369726/2026_H1N1,flu-seqneut-2026_h1,0.01291,over,True,False,1.911
flu-seqneut-2026_H1N1_40,A/MinasGerais/410/2026_H1N1,flu-seqneut-2026_h1,0.007309,ok,False,False,1.082
flu-seqneut-2026_H1N1_41,A/Hessen/18/2026_H1N1,flu-seqneut-2026_h1,0.0083,ok,False,False,1.228
flu-seqneut-2026_H1N1_42,A/France/GES-IPP00659/2026_H1N1,flu-seqneut-2026_h1,0.008358,ok,False,False,1.237
flu-seqneut-2026_H1N1_44,A/Ukraine/5214/2026_H1N1,flu-seqneut-2026_h1,0.006563,ok,False,False,0.9713
flu-seqneut-2026_H1N1_45,A/Vietnam/PF126009/2026_H1N1,flu-seqneut-2026_h1,0.005801,ok,False,False,0.8586
