shortname,strain,subpool,mean_fraction_strain,representation,over_represented,under_represented,x_expected
flu-seqneut-2026_H1N1_1,A/Missouri/11/2025_egg_H1N1,flu-seqneut-2026_h1,0.01628,over,True,False,2.409
flu-seqneut-2026_H1N1_2,A/Nebraska/34/2026_H1N1,flu-seqneut-2026_h1,0.007201,ok,False,False,1.066
flu-seqneut-2026_H1N1_3,A/Rhode_Island/11/2026_H1N1,flu-seqneut-2026_h1,0.01298,over,True,False,1.92
flu-seqneut-2026_H1N1_4,A/Denmark/4547/2025_H1N1,flu-seqneut-2026_h1,0.01174,over,True,False,1.738
flu-seqneut-2026_H1N1_5,A/BritishColumbia/RV00022-26/2025_H1N1,flu-seqneut-2026_h1,0.01047,over,True,False,1.55
flu-seqneut-2026_H1N1_6,A/France/NAQ-HCL026046169102/2025_H1N1,flu-seqneut-2026_h1,0.005759,ok,False,False,0.8523
flu-seqneut-2026_H1N1_7,A/England/1893256/2026_H1N1,flu-seqneut-2026_h1,0.008863,ok,False,False,1.312
flu-seqneut-2026_H1N1_8,A/Uppsala/SE26-01293/2026_H1N1,flu-seqneut-2026_h1,0.01148,over,True,False,1.7
flu-seqneut-2026_H1N1_9,A/Sydney/50/2026_H1N1,flu-seqneut-2026_h1,0.01042,over,True,False,1.542
flu-seqneut-2026_H1N1_10,A/Maine/25/2026_H1N1,flu-seqneut-2026_h1,0.009783,ok,False,False,1.448
flu-seqneut-2026_H1N1_11,A/Netherlands/864/2026_H1N1,flu-seqneut-2026_h1,0.009633,ok,False,False,1.426
flu-seqneut-2026_H1N1_12,A/France/HDF-RELAB-IPP07969/2025_H1N1,flu-seqneut-2026_h1,0.01144,over,True,False,1.694
flu-seqneut-2026_H1N1_13,A/Virginia/82/2025_H1N1,flu-seqneut-2026_h1,0.01179,over,True,False,1.744
flu-seqneut-2026_H1N1_14,A/Valencia/VAHNSI_09_02564/2025_H1N1,flu-seqneut-2026_h1,0.01497,over,True,False,2.216
flu-seqneut-2026_H1N1_15,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1,flu-seqneut-2026_h1,0.01067,over,True,False,1.579
flu-seqneut-2026_H1N1_16,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1,flu-seqneut-2026_h1,0.007781,ok,False,False,1.152
flu-seqneut-2026_H1N1_17,A/Kentucky/80/2025_H1N1,flu-seqneut-2026_h1,0.008481,ok,False,False,1.255
flu-seqneut-2026_H1N1_18,A/Singapore/KK2768/2025_H1N1,flu-seqneut-2026_h1,0.008922,ok,False,False,1.32
flu-seqneut-2026_H1N1_19,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1,flu-seqneut-2026_h1,0.01398,over,True,False,2.07
flu-seqneut-2026_H1N1_20,A/California/NIRC-IS-1019/2026_H1N1,flu-seqneut-2026_h1,0.0103,over,True,False,1.525
flu-seqneut-2026_H1N1_21,A/Zambia/6-NIC-014/2026_H1N1,flu-seqneut-2026_h1,0.01051,over,True,False,1.555
flu-seqneut-2026_H1N1_22,A/Mississippi/20/2026_H1N1,flu-seqneut-2026_h1,0.01139,over,True,False,1.686
flu-seqneut-2026_H1N1_23,A/BritishColumbia/RV05508-25/2025_H1N1,flu-seqneut-2026_h1,0.01253,over,True,False,1.854
flu-seqneut-2026_H1N1_24,A/Zambia/7-NIC-313/2026_H1N1,flu-seqneut-2026_h1,0.01222,over,True,False,1.808
flu-seqneut-2026_H1N1_25,A/Andalucia/PMC-01495/2025_H1N1,flu-seqneut-2026_h1,0.008177,ok,False,False,1.21
flu-seqneut-2026_H1N1_26,A/Netherlands/2398/2025_H1N1,flu-seqneut-2026_h1,0.007946,ok,False,False,1.176
flu-seqneut-2026_H1N1_27,A/Netherlands/10008/2026_H1N1,flu-seqneut-2026_h1,0.007201,ok,False,False,1.066
flu-seqneut-2026_H1N1_28,A/BritishColumbia/RV01350-26/2026_H1N1,flu-seqneut-2026_h1,0.007795,ok,False,False,1.154
flu-seqneut-2026_H1N1_29,A/Vietnam/PF125413/2025_H1N1,flu-seqneut-2026_h1,0.007994,ok,False,False,1.183
flu-seqneut-2026_H1N1_30,A/Saskatchewan/SKFLU490586/2026_H1N1,flu-seqneut-2026_h1,0.01474,over,True,False,2.181
flu-seqneut-2026_H1N1_31,A/Asturias/232590913/2025_H1N1,flu-seqneut-2026_h1,0.009098,ok,False,False,1.347
flu-seqneut-2026_H1N1_32,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1,flu-seqneut-2026_h1,0.01353,over,True,False,2.002
flu-seqneut-2026_H1N1_33,A/Texas/29/2026_H1N1,flu-seqneut-2026_h1,0.01252,over,True,False,1.853
flu-seqneut-2026_H1N1_34,A/Andalucia/PMC-01217/2025_H1N1,flu-seqneut-2026_h1,0.005015,ok,False,False,0.7422
flu-seqneut-2026_H1N1_35,A/California/NIRC-IS-1356/2025_H1N1,flu-seqneut-2026_h1,0.008662,ok,False,False,1.282
flu-seqneut-2026_H1N1_36,A/Netherlands/543/2026_H1N1,flu-seqneut-2026_h1,0.008815,ok,False,False,1.305
flu-seqneut-2026_H1N1_37,A/Galicia/GA-CHUAC-612/2025_H1N1,flu-seqneut-2026_h1,0.006023,ok,False,False,0.8915
flu-seqneut-2026_H1N1_38,A/Denmark/4774/2025_H1N1,flu-seqneut-2026_h1,0.008218,ok,False,False,1.216
flu-seqneut-2026_H1N1_39,A/PaisVasco/70369726/2026_H1N1,flu-seqneut-2026_h1,0.01555,over,True,False,2.301
flu-seqneut-2026_H1N1_40,A/MinasGerais/410/2026_H1N1,flu-seqneut-2026_h1,0.009699,ok,False,False,1.436
flu-seqneut-2026_H1N1_41,A/Hessen/18/2026_H1N1,flu-seqneut-2026_h1,0.01122,over,True,False,1.66
flu-seqneut-2026_H1N1_42,A/France/GES-IPP00659/2026_H1N1,flu-seqneut-2026_h1,0.009568,ok,False,False,1.416
flu-seqneut-2026_H1N1_44,A/Ukraine/5214/2026_H1N1,flu-seqneut-2026_h1,0.008016,ok,False,False,1.186
flu-seqneut-2026_H1N1_45,A/Vietnam/PF126009/2026_H1N1,flu-seqneut-2026_h1,0.008608,ok,False,False,1.274
flu-seqneut-2026_H1N1_46,A/France/ARA-HCL025195259501/2025_H1N1,flu-seqneut-2026_h1,0.01208,over,True,False,1.788
flu-seqneut-2026_H1N1_47,A/NordrheinWestfalen/96/2026_H1N1,flu-seqneut-2026_h1,0.01186,over,True,False,1.755
flu-seqneut-2026_H1N1_48,A/Arizona/40/2026_H1N1,flu-seqneut-2026_h1,0.007808,ok,False,False,1.156
flu-seqneut-2026_H1N1_49,A/MinasGerais/671/2026_H1N1,flu-seqneut-2026_h1,0.009926,ok,False,False,1.469
flu-seqneut-2026_H1N1_50,A/SouthAfrica/NICD-R01647/2026_H1N1,flu-seqneut-2026_h1,0.009799,ok,False,False,1.45
flu-seqneut-2026_H1N1_51,A/Switzerland/UN-SNRCI-HUG-053/2025_H1N1,flu-seqneut-2026_h1,0.00755,ok,False,False,1.117
flu-seqneut-2026_H1N1_52,A/Mauritius/26000203/2026_H1N1,flu-seqneut-2026_h1,0.008522,ok,False,False,1.261
flu-seqneut-2026_H1N1_53,A/SouthAfrica/NICD-R01668/2026_H1N1,flu-seqneut-2026_h1,0.008978,ok,False,False,1.329
flu-seqneut-2026_H1N1_54,A/SouthAfrica/PATH-CERI-C073366/2025_H1N1,flu-seqneut-2026_h1,0.01182,over,True,False,1.75
flu-seqneut-2026_H3N2_1,A/Darwin/1454/2025_H3N2,flu-seqneut-2026_h3,0.002816,under,False,True,0.4167
flu-seqneut-2026_H3N2_2,A/Singapore/GP20238/2024_H3N2,flu-seqneut-2026_h3,0.004343,under,False,True,0.6428
flu-seqneut-2026_H3N2_3,A/Badajoz/18811358/2026_H3N2,flu-seqneut-2026_h3,0.005136,ok,False,False,0.7602
flu-seqneut-2026_H3N2_4,A/StPetersburg/RII-25-2042S/2025_H3N2,flu-seqneut-2026_h3,0.008054,ok,False,False,1.192
flu-seqneut-2026_H3N2_5,A/Ireland/91576/2025_H3N2,flu-seqneut-2026_h3,0.004602,ok,False,False,0.6811
flu-seqneut-2026_H3N2_6,A/Thuringen/16/2026_H3N2,flu-seqneut-2026_h3,0.004803,ok,False,False,0.7109
flu-seqneut-2026_H3N2_7,A/StPetersburg/RII-25-2600S/2026_H3N2,flu-seqneut-2026_h3,0.004762,ok,False,False,0.7048
flu-seqneut-2026_H3N2_8,A/Astrakhan/RII-MH273373S/2025_H3N2,flu-seqneut-2026_h3,0.003984,under,False,True,0.5897
flu-seqneut-2026_H3N2_9,A/Massachusetts/ISC-1856/2025_H3N2,flu-seqneut-2026_h3,0.004842,ok,False,False,0.7166
flu-seqneut-2026_H3N2_10,A/Florida/ISC-1069/2026_H3N2,flu-seqneut-2026_h3,0.00388,under,False,True,0.5743
flu-seqneut-2026_H3N2_11,A/Denmark/3940/2025_H3N2,flu-seqneut-2026_h3,0.00583,ok,False,False,0.8628
flu-seqneut-2026_H3N2_12,A/France/PAC-RELAB-HCL026021993801/2026_H3N2,flu-seqneut-2026_h3,0.004775,ok,False,False,0.7067
flu-seqneut-2026_H3N2_13,A/Luxembourg/LNS9132577/2026_H3N2,flu-seqneut-2026_h3,0.005934,ok,False,False,0.8782
flu-seqneut-2026_H3N2_14,A/California/NIRC-IS-1067/2026_H3N2,flu-seqneut-2026_h3,0.00922,ok,False,False,1.365
flu-seqneut-2026_H3N2_15,A/France/HDF-RELAB-IPP00300/2026_H3N2,flu-seqneut-2026_h3,0.006381,ok,False,False,0.9443
flu-seqneut-2026_H3N2_16,A/NovaScotia/25-365-06099/2025_H3N2,flu-seqneut-2026_h3,0.006161,ok,False,False,0.9119
flu-seqneut-2026_H3N2_17,A/StPetersburg/RII-25-2321S/2025_H3N2,flu-seqneut-2026_h3,0.003221,under,False,True,0.4768
flu-seqneut-2026_H3N2_18,A/NordrheinWestfalen/54/2026_H3N2,flu-seqneut-2026_h3,0.004289,under,False,True,0.6348
flu-seqneut-2026_H3N2_19,A/SantaCatarina/508/2026_H3N2,flu-seqneut-2026_h3,0.006041,ok,False,False,0.8941
flu-seqneut-2026_H3N2_20,A/Trieste/380/2026_H3N2,flu-seqneut-2026_h3,0.003766,under,False,True,0.5574
flu-seqneut-2026_H3N2_21,A/Michigan/UM-10068071276/2025_H3N2,flu-seqneut-2026_h3,0.004278,under,False,True,0.6331
flu-seqneut-2026_H3N2_22,A/Singapore/NTF0577/2025_H3N2,flu-seqneut-2026_h3,0.005254,ok,False,False,0.7776
flu-seqneut-2026_H3N2_23,A/California/NIRC-IS-1059/2026_H3N2,flu-seqneut-2026_h3,0.007409,ok,False,False,1.097
flu-seqneut-2026_H3N2_24,A/Germany/LRMC_0104/2025_H3N2,flu-seqneut-2026_h3,0.004956,ok,False,False,0.7335
flu-seqneut-2026_H3N2_25,A/France/HDF-RELAB-IPP00303/2026_H3N2,flu-seqneut-2026_h3,0.00587,ok,False,False,0.8687
flu-seqneut-2026_H3N2_26,A/Germany/LRMC_0113/2025_H3N2,flu-seqneut-2026_h3,0.005497,ok,False,False,0.8135
flu-seqneut-2026_H3N2_27,A/StPetersburg/RII-25-2506S/2026_H3N2,flu-seqneut-2026_h3,0.0172,over,True,False,2.546
flu-seqneut-2026_H3N2_28,A/Connecticut/5/2026_H3N2,flu-seqneut-2026_h3,0.005627,ok,False,False,0.8328
flu-seqneut-2026_H3N2_29,A/Singapore/SAR8915/2025_H3N2,flu-seqneut-2026_h3,0.006474,ok,False,False,0.9582
flu-seqneut-2026_H3N2_30,A/France/ARA-HCL026031894402/2026_H3N2,flu-seqneut-2026_h3,0.004477,under,False,True,0.6626
flu-seqneut-2026_H3N2_31,A/Castellon/VAHNSI_02_02400/2025_H3N2,flu-seqneut-2026_h3,0.005435,ok,False,False,0.8044
flu-seqneut-2026_H3N2_32,A/Trieste/257/2025_H3N2,flu-seqneut-2026_h3,0.006462,ok,False,False,0.9564
flu-seqneut-2026_H3N2_33,A/Badajoz/18738342/2026_H3N2,flu-seqneut-2026_h3,0.006213,ok,False,False,0.9195
flu-seqneut-2026_H3N2_34,A/Saskatchewan/SKFLU477727/2025_H3N2,flu-seqneut-2026_h3,0.005698,ok,False,False,0.8433
flu-seqneut-2026_H3N2_35,A/Michigan/UM-10068134090/2025_H3N2,flu-seqneut-2026_h3,0.007043,ok,False,False,1.042
flu-seqneut-2026_H3N2_36,A/Thuringen/39/2026_H3N2,flu-seqneut-2026_h3,0.008087,ok,False,False,1.197
flu-seqneut-2026_H3N2_37,A/California/GKISBBBH79910/2026_H3N2,flu-seqneut-2026_h3,0.00519,ok,False,False,0.7682
flu-seqneut-2026_H3N2_38,A/SouthCarolina/USAFSAM-17046/2026_H3N2,flu-seqneut-2026_h3,0.003449,under,False,True,0.5104
flu-seqneut-2026_H3N2_39,A/NakhonPhanom/P495/2026_H3N2,flu-seqneut-2026_h3,0.004669,ok,False,False,0.691
flu-seqneut-2026_H3N2_40,A/Romania/612042/2026_H3N2,flu-seqneut-2026_h3,0.003981,under,False,True,0.5891
flu-seqneut-2026_H3N2_41,A/Victoria/2948/2025_H3N2,flu-seqneut-2026_h3,0.002854,under,False,True,0.4224
flu-seqneut-2026_H3N2_42,A/Michigan/UM-10068747355/2026_H3N2,flu-seqneut-2026_h3,0.003484,under,False,True,0.5156
flu-seqneut-2026_H3N2_43,A/Netherlands/968/2026_H3N2,flu-seqneut-2026_h3,0.002789,under,False,True,0.4128
flu-seqneut-2026_H3N2_45,A/Missouri/NIRC-AV-1003/2025_H3N2,flu-seqneut-2026_h3,0.003207,under,False,True,0.4746
flu-seqneut-2026_H3N2_46,A/France/OCC-HCL026013263701/2026_H3N2,flu-seqneut-2026_h3,0.003462,under,False,True,0.5123
flu-seqneut-2026_H3N2_47,A/Ontario/PHL202550193/2025_H3N2,flu-seqneut-2026_h3,0.005218,ok,False,False,0.7723
flu-seqneut-2026_H3N2_48,A/Netherlands/888/2026_H3N2,flu-seqneut-2026_h3,0.01107,over,True,False,1.638
flu-seqneut-2026_H3N2_49,A/SouthAustralia/2605715552/2026_H3N2,flu-seqneut-2026_h3,0.007572,ok,False,False,1.121
flu-seqneut-2026_H3N2_50,A/France/HDF-IPP01550/2026_H3N2,flu-seqneut-2026_h3,0.005844,ok,False,False,0.8648
flu-seqneut-2026_H3N2_51,A/Saskatchewan/SKFLU477299/2025_H3N2,flu-seqneut-2026_h3,0.004931,ok,False,False,0.7297
flu-seqneut-2026_H3N2_52,A/Parana/416133590/2026_H3N2,flu-seqneut-2026_h3,0.005343,ok,False,False,0.7908
flu-seqneut-2026_H3N2_53,A/Montana/51/2025_H3N2,flu-seqneut-2026_h3,0.004902,ok,False,False,0.7254
flu-seqneut-2026_H3N2_54,A/France/GES-IPP01077/2026_H3N2,flu-seqneut-2026_h3,0.00549,ok,False,False,0.8125
flu-seqneut-2026_H3N2_55,A/Bolivia/OR5702/2025_H3N2,flu-seqneut-2026_h3,0.00455,ok,False,False,0.6735
flu-seqneut-2026_H3N2_56,A/NewYork/NIRC-IS-1086/2026_H3N2,flu-seqneut-2026_h3,0.004228,under,False,True,0.6257
flu-seqneut-2026_H3N2_57,A/Michigan/8/2026_H3N2,flu-seqneut-2026_h3,0.003649,under,False,True,0.5401
flu-seqneut-2026_H3N2_58,A/Peru/ANC-INS-062/2026_H3N2,flu-seqneut-2026_h3,0.00684,ok,False,False,1.012
flu-seqneut-2026_H3N2_59,A/Blaenavon/6687/2026_H3N2,flu-seqneut-2026_h3,0.003645,under,False,True,0.5394
flu-seqneut-2026_H3N2_60,A/Oregon/81/2025_H3N2,flu-seqneut-2026_h3,0.005814,ok,False,False,0.8605
flu-seqneut-2026_H3N2_61,A/Michigan/UM-10068449788/2025_H3N2,flu-seqneut-2026_h3,0.003835,under,False,True,0.5675
flu-seqneut-2026_H3N2_62,A/France/NAQ-HCL026010957001/2026_H3N2,flu-seqneut-2026_h3,0.005361,ok,False,False,0.7934
flu-seqneut-2026_H3N2_63,A/Michigan/UM-10068456988/2025_H3N2,flu-seqneut-2026_h3,0.004808,ok,False,False,0.7116
