subtype,region,week_start,category,n_sequences
H1N1,HA1,2024-09-02,1_mutation,77
H1N1,HA1,2024-09-02,2_mutations,33
H1N1,HA1,2024-09-02,3_mutations,13
H1N1,HA1,2024-09-02,4_mutations,2
H1N1,HA1,2024-09-02,identical,36
H1N1,HA1,2024-09-09,1_mutation,105
H1N1,HA1,2024-09-09,2_mutations,41
H1N1,HA1,2024-09-09,3_mutations,16
H1N1,HA1,2024-09-09,4_mutations,4
H1N1,HA1,2024-09-09,identical,39
H1N1,HA1,2024-09-16,1_mutation,110
H1N1,HA1,2024-09-16,2_mutations,41
H1N1,HA1,2024-09-16,3_mutations,18
H1N1,HA1,2024-09-16,identical,48
H1N1,HA1,2024-09-16,more_than_4_mutations,1
H1N1,HA1,2024-09-23,1_mutation,84
H1N1,HA1,2024-09-23,2_mutations,49
H1N1,HA1,2024-09-23,3_mutations,16
H1N1,HA1,2024-09-23,4_mutations,6
H1N1,HA1,2024-09-23,identical,37
H1N1,HA1,2024-09-30,1_mutation,83
H1N1,HA1,2024-09-30,2_mutations,44
H1N1,HA1,2024-09-30,3_mutations,12
H1N1,HA1,2024-09-30,4_mutations,3
H1N1,HA1,2024-09-30,identical,42
H1N1,HA1,2024-09-30,more_than_4_mutations,1
H1N1,HA1,2024-10-07,1_mutation,95
H1N1,HA1,2024-10-07,2_mutations,51
H1N1,HA1,2024-10-07,3_mutations,20
H1N1,HA1,2024-10-07,4_mutations,7
H1N1,HA1,2024-10-07,identical,71
H1N1,HA1,2024-10-14,1_mutation,96
H1N1,HA1,2024-10-14,2_mutations,55
H1N1,HA1,2024-10-14,3_mutations,23
H1N1,HA1,2024-10-14,4_mutations,7
H1N1,HA1,2024-10-14,identical,72
H1N1,HA1,2024-10-21,1_mutation,134
H1N1,HA1,2024-10-21,2_mutations,76
H1N1,HA1,2024-10-21,3_mutations,36
H1N1,HA1,2024-10-21,4_mutations,12
H1N1,HA1,2024-10-21,identical,101
H1N1,HA1,2024-10-21,more_than_4_mutations,4
H1N1,HA1,2024-10-28,1_mutation,130
H1N1,HA1,2024-10-28,2_mutations,62
H1N1,HA1,2024-10-28,3_mutations,36
H1N1,HA1,2024-10-28,4_mutations,9
H1N1,HA1,2024-10-28,identical,77
H1N1,HA1,2024-10-28,more_than_4_mutations,2
H1N1,HA1,2024-11-04,1_mutation,161
H1N1,HA1,2024-11-04,2_mutations,96
H1N1,HA1,2024-11-04,3_mutations,37
H1N1,HA1,2024-11-04,4_mutations,11
H1N1,HA1,2024-11-04,identical,96
H1N1,HA1,2024-11-04,more_than_4_mutations,4
H1N1,HA1,2024-11-11,1_mutation,188
H1N1,HA1,2024-11-11,2_mutations,79
H1N1,HA1,2024-11-11,3_mutations,30
H1N1,HA1,2024-11-11,4_mutations,8
H1N1,HA1,2024-11-11,identical,105
H1N1,HA1,2024-11-11,more_than_4_mutations,2
H1N1,HA1,2024-11-18,1_mutation,223
H1N1,HA1,2024-11-18,2_mutations,106
H1N1,HA1,2024-11-18,3_mutations,24
H1N1,HA1,2024-11-18,4_mutations,11
H1N1,HA1,2024-11-18,identical,149
