virus,cohort,n_sera,median_titer,geomean_titer,titer_q1,titer_q3,frac_w_titer_below_140
A/Andalucia/PMC-00977/2025_H1N1,All,285,255.1,317.7,137.3,614.4,0.2526
A/Andalucia/PMC-00977/2025_H1N1,CTS,38,235.6,283.3,172.1,417.2,0.1842
A/Andalucia/PMC-00977/2025_H1N1,SCH,40,173.6,196.3,70.8,461.6,0.475
A/Andalucia/PMC-00977/2025_H1N1,UWMC,87,278.9,333.4,141.9,756.7,0.2414
A/Andalucia/PMC-00977/2025_H1N1,VIDRL,120,280,373.3,153.6,753.1,0.2083
A/Andalucia/PMC-00977/2025_H1N1,VIDRL_adult-cell_post,20,1162,1413,491.9,4821,0
A/Andalucia/PMC-00977/2025_H1N1,VIDRL_adult-cell_pre,20,101.7,128.4,72.58,173.2,0.6
A/Andalucia/PMC-00977/2025_H1N1,VIDRL_adult-egg_post,20,432.6,480.3,215,822.3,0
A/Andalucia/PMC-00977/2025_H1N1,VIDRL_adult-egg_pre,20,266.6,230.2,97.22,383.6,0.4
A/Andalucia/PMC-00977/2025_H1N1,VIDRL_elderly-egg_post,20,452,600.4,264.1,1398,0.1
A/Andalucia/PMC-00977/2025_H1N1,VIDRL_elderly-egg_pre,20,206.2,224.8,160.1,290.6,0.15
A/Andalucia/PMC-01217/2025_H1N1,All,285,271.3,327.8,133,643.1,0.2632
A/Andalucia/PMC-01217/2025_H1N1,CTS,38,213.3,260.3,122,490.3,0.2895
A/Andalucia/PMC-01217/2025_H1N1,SCH,40,188.8,217.5,81.57,530,0.45
A/Andalucia/PMC-01217/2025_H1N1,UWMC,87,317.6,336.7,137.1,732.8,0.2529
A/Andalucia/PMC-01217/2025_H1N1,VIDRL,120,308.2,396.5,187.4,731.3,0.2
A/Andalucia/PMC-01217/2025_H1N1,VIDRL_adult-cell_post,20,1222,1329,475.6,3808,0
A/Andalucia/PMC-01217/2025_H1N1,VIDRL_adult-cell_pre,20,145.6,156.1,89.99,217.7,0.5
A/Andalucia/PMC-01217/2025_H1N1,VIDRL_adult-egg_post,20,479.3,526.6,248.5,715.3,0.1
A/Andalucia/PMC-01217/2025_H1N1,VIDRL_adult-egg_pre,20,203.8,216.8,94.43,390.4,0.4
A/Andalucia/PMC-01217/2025_H1N1,VIDRL_elderly-egg_post,20,558.6,676.7,283.7,1250,0.05
A/Andalucia/PMC-01217/2025_H1N1,VIDRL_elderly-egg_pre,20,225.7,242.5,193.1,298.7,0.15
A/Andalucia/PMC-01495/2025_H1N1,All,285,295.8,331.8,147.5,632.8,0.2351
A/Andalucia/PMC-01495/2025_H1N1,CTS,38,238.2,287.7,179.1,458.5,0.1842
A/Andalucia/PMC-01495/2025_H1N1,SCH,40,172.6,185,55.03,398.7,0.475
A/Andalucia/PMC-01495/2025_H1N1,UWMC,87,326.2,349.4,168.4,688.9,0.2184
A/Andalucia/PMC-01495/2025_H1N1,VIDRL,120,330.1,406.3,165,707.5,0.1833
A/Andalucia/PMC-01495/2025_H1N1,VIDRL_adult-cell_post,20,1260,1386,503.8,4475,0.05
A/Andalucia/PMC-01495/2025_H1N1,VIDRL_adult-cell_pre,20,165.4,154.3,79.98,201.4,0.4
A/Andalucia/PMC-01495/2025_H1N1,VIDRL_adult-egg_post,20,515.9,540.3,241.4,760.3,0.05
A/Andalucia/PMC-01495/2025_H1N1,VIDRL_adult-egg_pre,20,191.2,235.9,102.4,486.3,0.4
A/Andalucia/PMC-01495/2025_H1N1,VIDRL_elderly-egg_post,20,548,712.7,312.9,1341,0.05
A/Andalucia/PMC-01495/2025_H1N1,VIDRL_elderly-egg_pre,20,206.4,231.6,160.6,305.2,0.15
A/Arizona/40/2026_H1N1,All,285,247.4,323.3,125.6,626.8,0.2877
A/Arizona/40/2026_H1N1,CTS,38,207.4,256.7,125.9,428.3,0.2895
A/Arizona/40/2026_H1N1,SCH,40,175,216.7,73.23,487.2,0.5
A/Arizona/40/2026_H1N1,UWMC,87,248.2,316.7,126.2,599.5,0.3103
A/Arizona/40/2026_H1N1,VIDRL,120,296.6,403.3,169.9,821.7,0.2
A/Arizona/40/2026_H1N1,VIDRL_adult-cell_post,20,1350,1511,421.3,4179,0
A/Arizona/40/2026_H1N1,VIDRL_adult-cell_pre,20,141.1,152.4,89.12,201.5,0.5
A/Arizona/40/2026_H1N1,VIDRL_adult-egg_post,20,413.1,567.1,221.5,889.8,0
A/Arizona/40/2026_H1N1,VIDRL_adult-egg_pre,20,218,228.7,95.85,508.8,0.4
A/Arizona/40/2026_H1N1,VIDRL_elderly-egg_post,20,481.1,703.9,249.6,1830,0.1
A/Arizona/40/2026_H1N1,VIDRL_elderly-egg_pre,20,211.8,204.6,157.2,312,0.2
A/Astrakhan/RII-MH273373S/2025_H3N2,All,283,405.9,484.4,189.9,1264,0.1519
A/Astrakhan/RII-MH273373S/2025_H3N2,CTS,38,427.4,477.2,257.5,767,0.05263
A/Astrakhan/RII-MH273373S/2025_H3N2,SCH,40,431.5,526.5,199,1726,0.225
A/Astrakhan/RII-MH273373S/2025_H3N2,UWMC,85,538.2,578.3,231.3,1275,0.05882
A/Astrakhan/RII-MH273373S/2025_H3N2,VIDRL,120,350.5,417.4,146.8,1206,0.225
A/Astrakhan/RII-MH273373S/2025_H3N2,VIDRL_adult-cell_post,20,739.5,945.3,522.1,1636,0.05
A/Astrakhan/RII-MH273373S/2025_H3N2,VIDRL_adult-cell_pre,20,143.2,120.9,59.86,216.7,0.45
A/Astrakhan/RII-MH273373S/2025_H3N2,VIDRL_adult-egg_post,20,1562,1000,347.6,2124,0
A/Astrakhan/RII-MH273373S/2025_H3N2,VIDRL_adult-egg_pre,20,153.8,234.4,102.6,454.8,0.5
A/Astrakhan/RII-MH273373S/2025_H3N2,VIDRL_elderly-egg_post,20,787.9,813.3,353.1,1940,0.1
A/Astrakhan/RII-MH273373S/2025_H3N2,VIDRL_elderly-egg_pre,20,252.7,242.6,145.1,364,0.25
