well,serum,dilution_factor,replicate,fastq
A1,flu-seqneut-2026-UWMC-027,40,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_1_S1_R1_001.fastq.gz
B1,flu-seqneut-2026-UWMC-027,92,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_2_S2_R1_001.fastq.gz
C1,flu-seqneut-2026-UWMC-027,212,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_3_S3_R1_001.fastq.gz
D1,flu-seqneut-2026-UWMC-027,487,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_4_S4_R1_001.fastq.gz
E1,flu-seqneut-2026-UWMC-027,1119,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_5_S5_R1_001.fastq.gz
F1,flu-seqneut-2026-UWMC-027,2575,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_6_S6_R1_001.fastq.gz
G1,flu-seqneut-2026-UWMC-027,5921,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_7_S7_R1_001.fastq.gz
H1,flu-seqneut-2026-UWMC-027,13619,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_8_S8_R1_001.fastq.gz
A2,flu-seqneut-2026-UWMC-028,40,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_9_S9_R1_001.fastq.gz
B2,flu-seqneut-2026-UWMC-028,92,1,/shared/ngs/illumina/bloom_lab/260819_VH00319_628_AAF3M2VHV/Unaligned/Project_bloom_lab/PlateB_10_S10_R1_001.fastq.gz
