subpool,n_strains,remake,current_fraction_of_pool,equal_share_fraction,fraction_of_pool,volume_uL
flu-seqneut-2026_h1,53,False,0.3028,0.3581,0.3568,3677
flu-seqneut-2026_h3,66,False,0.3878,0.4459,0.4443,4579
old_h1_vax,14,False,0.09886,0.09459,0.09424,971.4
old_h3_vax,15,True,0.2106,0.1014,0.1047,1079
