strain,fraction_strain,mean_ratio_to_add,x_volume_to_add,subtype,strain_type,vaccine_type,subclade,derived_haplotype,genbank_accession,shortname,bloom_lab_plasmid_log_id,passage_history_annotation,collection_date,strain_id
A/Netherlands/446/2026_H1N1,5.0339844288793645e-06,226.8722084200582,3403.083126300873,H1N1,circulating_2026,,D.3.1.1,"D.3.1.1:L70P,A141V,V321I",PZ026799_L70P_A141V,flu-seqneut-2026_H1N1_43_bc1,plate18-A1_pHW2000_A_Netherlands_446_2026_bc1.gb,,2026.09,H1N1_43
A/Netherlands/446/2026_H1N1,5.0339844288793645e-06,226.8722084200582,3403.083126300873,H1N1,circulating_2026,,D.3.1.1,"D.3.1.1:L70P,A141V,V321I",PZ026799_L70P_A141V,flu-seqneut-2026_H1N1_43_bc2,plate18-A2_pHW2000_A_Netherlands_446_2026_bc2.gb,,2026.09,H1N1_43
A/Netherlands/1739/2023_H1N1,5.5709427679598304e-05,122.10235568300735,1831.5353352451102,H1N1,circulating_2026,,D.5,D.5,PP304848,flu_seqneut_pdmH1N1_2023-2024_H1_22,4443_pHH_H1-22-A-Netherlands-01739-2023_HA_WSNflank_bc1.gb,,2023.9,H1N1_1000000
A/Netherlands/1739/2023_H1N1,5.5709427679598304e-05,122.10235568300735,1831.5353352451102,H1N1,circulating_2026,,D.5,D.5,PP304848,flu_seqneut_pdmH1N1_2023-2024_H1_22,4444_pHH_H1-22-A-Netherlands-01739-2023_HA_WSNflank_bc2.gb,,2023.9,H1N1_1000000
A/Netherlands/1739/2023_H1N1,5.5709427679598304e-05,122.10235568300735,1831.5353352451102,H1N1,circulating_2026,,D.5,D.5,PP304848,flu_seqneut_pdmH1N1_2023-2024_H1_22,4445_pHH_H1-22-A-Netherlands-01739-2023_HA_WSNflank_bc3.gb,,2023.9,H1N1_1000000
