shortname,x_volume_to_add,strain
flu-seqneut-2026_H1N1_1_bc1,982.4156820334665,A/Missouri/11/2025_egg_H1N1
flu-seqneut-2026_H1N1_2_bc2,42.86687032577378,A/Nebraska/34/2026_H1N1
flu-seqneut-2026_H1N1_3_bc2,71.71130336966102,A/Rhode_Island/11/2026_H1N1
flu-seqneut-2026_H1N1_4_bc2,59.402087553962104,A/Denmark/4547/2025_H1N1
flu-seqneut-2026_H1N1_5_bc2,64.49283914236952,A/BritishColumbia/RV00022-26/2025_H1N1
flu-seqneut-2026_H1N1_6_bc2,58.31847296222437,A/France/NAQ-HCL026046169102/2025_H1N1
flu-seqneut-2026_H1N1_7_bc2,75.21497011527055,A/England/1893256/2026_H1N1
flu-seqneut-2026_H1N1_8_bc2,63.551229141248164,A/Uppsala/SE26-01293/2026_H1N1
flu-seqneut-2026_H1N1_9_bc1,258.28715696868034,A/Sydney/50/2026_H1N1
flu-seqneut-2026_H1N1_10_bc1,68.3176284619168,A/Maine/25/2026_H1N1
flu-seqneut-2026_H1N1_11_bc2,56.3431696589217,A/Netherlands/864/2026_H1N1
flu-seqneut-2026_H1N1_12_bc2,57.76912720665909,A/France/HDF-RELAB-IPP07969/2025_H1N1
flu-seqneut-2026_H1N1_13_bc2,98.70590182711537,A/Virginia/82/2025_H1N1
flu-seqneut-2026_H1N1_14_bc2,44.69088304746112,A/Valencia/VAHNSI_09_02564/2025_H1N1
flu-seqneut-2026_H1N1_15_bc1,284.55869046894753,A/SouthAfrica/PATH-CERI-C075119/2026_H1N1
flu-seqneut-2026_H1N1_16_bc2,269.2205885678978,A/SouthAfrica/PATH-CERI-C073358/2025_H1N1
flu-seqneut-2026_H1N1_17_bc1,124.57937988365492,A/Kentucky/80/2025_H1N1
flu-seqneut-2026_H1N1_18_bc2,92.0397974661888,A/Singapore/KK2768/2025_H1N1
flu-seqneut-2026_H1N1_19_bc2,100.05541631716358,A/SouthAfrica/NHLS-SU-CERI-C075557/2026_H1N1
flu-seqneut-2026_H1N1_20_bc2,69.24958436635573,A/California/NIRC-IS-1019/2026_H1N1
flu-seqneut-2026_H1N1_21_bc1,70.74238337856757,A/Zambia/6-NIC-014/2026_H1N1
flu-seqneut-2026_H1N1_22_bc1,43.48802391727624,A/Mississippi/20/2026_H1N1
flu-seqneut-2026_H1N1_23_bc1,91.11435529811767,A/BritishColumbia/RV05508-25/2025_H1N1
flu-seqneut-2026_H1N1_24_bc2,45.17216091618879,A/Zambia/7-NIC-313/2026_H1N1
flu-seqneut-2026_H1N1_25_bc1,43.38931278187259,A/Andalucia/PMC-01495/2025_H1N1
flu-seqneut-2026_H1N1_26_bc1,95.24079721486946,A/Netherlands/2398/2025_H1N1
flu-seqneut-2026_H1N1_27_bc1,114.44288632035455,A/Netherlands/10008/2026_H1N1
flu-seqneut-2026_H1N1_28_bc2,124.69883947401806,A/BritishColumbia/RV01350-26/2026_H1N1
flu-seqneut-2026_H1N1_29_bc1,89.37776897050838,A/Vietnam/PF125413/2025_H1N1
flu-seqneut-2026_H1N1_30_bc2,151.4242183444736,A/Saskatchewan/SKFLU490586/2026_H1N1
flu-seqneut-2026_H1N1_31_bc1,94.3801152871076,A/Asturias/232590913/2025_H1N1
flu-seqneut-2026_H1N1_32_bc1,75.5222344766117,A/NewBrunswick/NBPHLFLUA10B-MM00057R/2026_H1N1
flu-seqneut-2026_H1N1_33_bc2,144.8255551894116,A/Texas/29/2026_H1N1
flu-seqneut-2026_H1N1_34_bc1,72.91349883941514,A/Andalucia/PMC-01217/2025_H1N1
flu-seqneut-2026_H1N1_35_bc1,146.34627474462042,A/California/NIRC-IS-1356/2025_H1N1
flu-seqneut-2026_H1N1_36_bc1,37.32562176973422,A/Netherlands/543/2026_H1N1
flu-seqneut-2026_H1N1_37_bc2,71.74546369133745,A/Galicia/GA-CHUAC-612/2025_H1N1
flu-seqneut-2026_H1N1_38_bc1,30.200660261850878,A/Denmark/4774/2025_H1N1
flu-seqneut-2026_H1N1_39_bc1,83.79609911898912,A/PaisVasco/70369726/2026_H1N1
flu-seqneut-2026_H1N1_40_bc1,32.91036509704567,A/MinasGerais/410/2026_H1N1
flu-seqneut-2026_H1N1_41_bc1,21.94664011193656,A/Hessen/18/2026_H1N1
flu-seqneut-2026_H1N1_42_bc2,62.01382486540591,A/France/GES-IPP00659/2026_H1N1
flu-seqneut-2026_H1N1_44_bc2,70.94741505924318,A/Ukraine/5214/2026_H1N1
flu-seqneut-2026_H1N1_45_bc1,112.36676115444129,A/Vietnam/PF126009/2026_H1N1
flu-seqneut-2026_H1N1_46_bc2,74.17833058123112,A/France/ARA-HCL025195259501/2025_H1N1
flu-seqneut-2026_H1N1_47_bc2,39.33015685360711,A/NordrheinWestfalen/96/2026_H1N1
